status	seconds	page	total	suspect_md	pdf	page_txt
ok	4.18	20	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0020.txt
ok	4.07	21	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0021.txt
ok	2.86	22	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0022.txt
ok	4.27	23	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0023.txt
ok	3.85	24	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0024.txt
ok	3.91	25	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0025.txt
ok	4.19	26	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0026.txt
ok	3.92	27	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0027.txt
ok	3.96	28	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0028.txt
ok	3.92	29	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0029.txt
